Sales Representative,Location,Region,Customer,Order Date,Product,Quantity,Price,Total Sale Amount
Sara Snyder,Massachusetts,East,Raymond Young,1/1/2016,,6,12.42,74.52
Sara Snyder,New York,East,,1/1/2016,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",7,12.42,
,Washington,West,Shirley Chavez,1/1/2016,,2,16.32,32.64
Sara Snyder,New Jersey,East,Brian Ryan,1/1/2016,Bretford CR4500 Series Slim Rectangular Table,1,,12.42
,New Jersey,East,Benjamin Willis,1/1/2016,Eldon Fold 'N Roll Cart System,3,17.83,53.49
Patrick Graham,Washington,West,Annie Jenkins,,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",6,53.35,320.1
Sara Snyder,New York,East,Christina Little,1/1/2016,Newell 322,6,53.35,320.1
Patrick Graham,Washington,West,,1/1/2016,Mitel 5320 IP Phone VoIP phone,9,16.32,146.88
Randy Watson,New York,East,Ruby Matthews,1/2/2016,DXL Angle-View Binders with Locking Rings by Samsill,6,,106.98
Sara Snyder,New York,East,Christopher Oliver,1/2/2016,Belkin F5C206VTEL 6 Outlet Surge,8,12.42,99.36
,Massachusetts,East,Kathryn Fox,1/2/2016,Chromcraft Rectangular Conference Tables,9,12.42,111.78
Patrick Graham,Oregon,West,,1/2/2016,,4,12.42,49.68
,Massachusetts,East,Walter Kennedy,1/2/2016,Xerox 1967,1,12.42,12.42
Patrick Graham,Washington,West,Pamela Alexander,1/2/2016,Fellowes PB200 Plastic Comb Binding Machine,4,,49.68
Sara Snyder,New York,East,Gloria Harper,1/2/2016,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",8,16.32,130.56
Randy Watson,New York,East,Harold Hunter,1/2/2016,Storex DuraTech Recycled Plastic Frosted Binders,10,53.35,533.5
Patrick Graham,Washington,West,Judy Sanchez,1/2/2016,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",7,,373.45
Diane Gonzalez,Washington,West,,1/2/2016,,4,12.42,49.68
Sara Snyder,Massachusetts,East,Lori Shaw,1/2/2016,Newell 341,7,16.32,114.24
Sara Snyder,New York,East,Sandra Hicks,1/2/2016,Cisco SPA 501G IP Phone,1,53.35,53.35
Randy Watson,Massachusetts,East,Roger Gomez,1/2/2016,"Wilson Jones Hanging View Binder, White, 1""",7,16.32,114.24
Sara Snyder,New Jersey,East,Kimberly Coleman,1/2/2016,Newell 318,1,17.83,17.83
Frances Warren,New York,East,Heather Andrews,1/2/2016,"Acco Six-Outlet Power Strip, 4' Cord Length",7,12.42,86.94
Patrick Graham,Oregon,West,Rachel Harris,1/3/2016,"Global Deluxe Stacking Chair, Gray",2,12.42,24.84
Patrick Graham,Washington,West,Susan Jacobs,1/3/2016,Bretford CR4500 Series Slim Rectangular Table,9,53.35,480.15
