Order ID,Unique ID,Customer,City,Quantity,Price,Total Sale Amount
NJ-2016-152156,NJ-2016-TT-107,Raymond Young,Troy,6,12.42,74.52
NJ-2016-138688,NJ-2016-PC-944,Helen Dean,Westfield,7,12.42,86.94
WA-2015-108966,WA-2015-TQ-107,Shirley Chavez,Seattle,2,16.32,32.64
NJ-2014-115812,NJ-2014-ZI-111,Brian Ryan,Westfield,1,12.42,12.42
NJ-2017-114412,NJ-2017-JR-537,Benjamin Willis,Westfield,3,17.83,53.49
WA-2016-161389,WA-2016-YM-214,Annie Jenkins,Seattle,6,53.35,320.1
NJ-2015-118983,NJ-2015-EI-673,Christina Little,Troy,6,53.35,320.1
WA-2014-105893,WA-2014-WH-307,Annie Jenkins,Seattle,9,16.32,146.88
NJ-2014-167164,NJ-2014-CX-606,Ruby Matthews,Troy,6,17.83,106.98
NJ-2014-143336,NJ-2014-FZ-130,Christopher Oliver,Troy,8,12.42,99.36
MA-2016-137330,MA-2016-ZH-857,Kathryn Fox,Lowell,9,12.42,111.78
OR-2017-156909,OR-2017-YY-420,Christopher Oliver,Portland,4,12.42,49.68
MA-2015-106320,MA-2015-JZ-949,Walter Kennedy,Lowell,1,12.42,12.42
WA-2016-121755,WA-2016-YF-243,Pamela Alexander,Seattle,4,12.42,49.68
NJ-2015-150630,NJ-2015-AP-216,Gloria Harper,Troy,8,16.32,130.56
NJ-2017-107727,NJ-2017-DX-383,Harold Hunter,Troy,10,53.35,533.5
WA-2016-117590,NJ-TEXWY-11752,Judy Sanchez,Seattle,7,53.35,373.45
WA-2015-117415,NJ-QDWAV-21173,Harold Hunter,Seattle,4,12.42,49.68
MA-2017-120999,WA-JJEKO-18817,Lori Shaw,Lowell,7,16.32,114.24
NJ-2016-101343,NJ-MJQGV-20387,Sandra Hicks,Troy,1,53.35,53.35
MA-2017-139619,NJ-SDISO-30581,Roger Gomez,Lowell,7,16.32,114.24
NJ-2016-118255,WA-VGSKZ-38287,Kimberly Coleman,Westfield,1,17.83,17.83
NJ-2014-146703,NJ-2014-JZ-306,Heather Andrews,Troy,7,12.42,86.94
OR-2016-169194,WA-CFLTU-1567,Rachel Harris,Portland,2,12.42,24.84
WA-2015-115742,WA-2015-LB-594,Susan Jacobs,Seattle,9,53.35,480.15
MA-2016-105816,NJ-HGAGR-17163,Gary Young,Lowell,3,17.83,53.49
NJ-2016-111682,NJ-2016-KA-310,Anthony Berry,Troy,9,17.83,160.47
CA-2015-135545,OR-FSAPL-19791,Joan Robinson,Los Angeles,2,12.42,24.84
NJ-2015-164175,NJ-2015-HI-870,Frank Ramos,Troy,1,16.32,16.32
OR-2014-106376,WA-VBQOW-20819,Raymond Matthews,Portland,1,12.42,12.42
CA-2016-119823,NJ-MXJSW-7265,Mary Rose,Los Angeles,10,17.83,178.3
WA-2016-106075,NJ-OFUMX-24081,Raymond Matthews,Seattle,9,17.83,160.47
NJ-2017-114440,WA-DIGRB-26372,Randy Willis,Westfield,3,17.83,53.49
WA-2015-134026,WA-2015-HC-262,Denise Henry,Seattle,9,53.35,480.15
NJ-2017-118038,NJ-2017-HU-259,Albert Miller,Troy,6,12.42,74.52
CA-2014-147606,CA-2014-SD-951,Evelyn Elliott,Los Angeles,3,53.35,160.05
MA-2016-127208,MA-2016-VJ-633,Mary Nelson,Lowell,8,17.83,142.64
NJ-2014-139451,NJ-2014-IS-614,Mary Nelson,Troy,5,17.83,89.15
NJ-2015-149734,NJ-2015-TW-835,Victor Bell,Westfield,3,16.32,48.96
MA-2017-119662,MA-2017-JD-869,Walter Kennedy,Lowell,2,12.42,24.84
NJ-2017-140088,WA-RRRNC-40869,Anthony Berry,Troy,6,16.32,97.92
MA-2017-155558,MA-2017-VC-806,William Payne,Lowell,1,12.42,12.42
WA-2016-159695,WA-2016-PJ-720,Joseph Dixon,Seattle,6,53.35,320.1
CA-2016-109806,CA-2016-MU-382,Andrew Adams,Los Angeles,1,17.83,17.83
CT-2015-149587,CT-2015-OQ-554,Cheryl Henderson,Fairfield,7,12.42,86.94
CT-2017-109484,CT-2017-ML-581,Carlos Stephens,Fairfield,1,12.42,12.42
WA-2017-161018,CA-KBCQV-34235,Daniel Perez,Seattle,3,12.42,37.26
MA-2017-157833,MA-2017-LM-638,Carl Howard,Lowell,9,17.83,160.47
MA-2016-149223,MA-2016-QN-961,Alice Davis,Lowell,9,12.42,111.78
OR-2016-158568,OR-2016-PW-969,Michael Cruz,Portland,2,17.83,35.66
NJ-2016-129903,NJ-CVDVX-9827,Anthony Berry,Troy,4,16.32,65.28
NJ-2015-156867,NJ-2015-TQ-118,Betty Stewart,Troy,10,12.42,124.2
CA-2017-119004,CA-2017-QA-218,Jacqueline Little,Los Angeles,5,12.42,62.1
OR-2015-129476,NJ-SOVOH-22233,Jacqueline Little,Portland,3,17.83,53.49
NJ-2017-146780,NJ-2017-RP-266,Jacqueline Little,Troy,9,12.42,111.78
CT-2016-128867,CT-2016-LL-594,Jacqueline Little,Fairfield,7,53.35,373.45
CT-2014-115259,CT-2014-LM-155,Jacqueline Little,Fairfield,2,16.32,32.64
MA-2015-110457,MA-CYEEH-25891,Jacqueline Little,Lowell,8,53.35,426.8
OR-2015-136476,OR-2015-MO-912,Jacqueline Little,Portland,2,12.42,24.84
OR-2016-103730,OR-2016-IU-383,Linda Wagner,Portland,6,53.35,320.1
NJ-2014-152030,NJ-2014-VQ-335,Christina Oliver,Troy,9,16.32,146.88
NJ-2014-134614,NJ-2014-OC-154,Joseph Ryan,Troy,6,16.32,97.92
OR-2017-107272,WA-NOSNK-12759,Henry Stanley,Portland,5,17.83,89.15
CA-2016-125969,CA-2016-QX-371,Diana Hamilton,Los Angeles,4,12.42,49.68
MA-2017-164147,MA-2017-WQ-743,Kevin Torres,Lowell,10,17.83,178.3
MA-2016-145583,MA-2016-OW-958,Jean Torres,Lowell,8,12.42,99.36
NJ-2016-110366,NJ-SOKLK-8221,Billy Reed,Troy,5,16.32,81.6
NJ-2017-106180,NJ-2017-FN-522,Dorothy Baker,Westfield,6,16.32,97.92
MA-2017-155376,MA-2017-MW-836,Brandon King,Lowell,5,17.83,89.15
NJ-2015-110744,NJ-2015-FS-407,Ralph Gomez,Troy,1,53.35,53.35
NJ-2014-110072,NJ-UEAEL-14062,Stephen Welch,Westfield,3,53.35,160.05
CA-2016-114489,CA-2016-MF-921,Stephen Welch,Los Angeles,1,17.83,17.83
NJ-2016-158834,NJ-2016-OR-335,Stephen Welch,Troy,6,53.35,320.1
NJ-2015-124919,NJ-2015-DI-144,Stephen Welch,Westfield,6,12.42,74.52
MA-2015-118948,OR-DBYJX-34512,Stephen Welch,Lowell,9,12.42,111.78
OR-2014-104269,OR-2014-OM-502,Stephen Welch,Portland,2,12.42,24.84
NJ-2016-114104,NJ-YYJRA-25389,Stephen Welch,Troy,3,12.42,37.26
CA-2016-162733,NJ-TPDBK-1444,Stephen Welch,Los Angeles,6,16.32,97.92
MA-2015-119697,MA-2015-FE-347,Stephen Welch,Lowell,2,12.42,24.84
MA-2016-154508,CA-ITBMU-15173,Stephen Welch,Lowell,1,12.42,12.42
MA-2016-113817,MA-PYMLO-26310,Stephen Welch,Lowell,7,53.35,373.45
MA-2014-139892,MA-RVIBR-6701,Stephen Welch,Lowell,1,12.42,12.42
MA-2014-118962,MA-2014-XU-422,Stephen Welch,Lowell,6,17.83,106.98
MA-2014-100853,MA-2014-TL-940,Stephen Welch,Lowell,4,17.83,71.32
NJ-2017-152366,NJ-2017-KX-100,Stephen Welch,Troy,1,12.42,12.42
MA-2015-101511,NJ-LQGSR-12093,Stephen Welch,Lowell,8,12.42,99.36
CA-2015-137225,CA-2015-AL-564,Gerald Mcdonald,Los Angeles,3,17.83,53.49
WA-2014-166191,WA-2014-NN-591,Ruth Kennedy,Seattle,9,53.35,480.15
OR-2014-158274,OR-2014-VZ-574,Anna Garcia,Portland,4,12.42,49.68
OR-2016-105018,OR-2016-FC-619,Gloria Mcdonald,Portland,1,12.42,12.42
CA-2014-123260,CA-2014-LN-892,Adam Martin,Los Angeles,8,12.42,99.36
WA-2016-157000,OR-KUUDP-18758,Philip Rodriguez,Seattle,4,17.83,71.32
MA-2015-102281,MA-2015-WC-823,Steven Kelly,Lowell,7,12.42,86.94
NJ-2015-131457,NJ-2015-OE-158,Ruth Burton,Westfield,6,12.42,74.52
CA-2014-140004,CA-2014-GQ-353,Rachel Stanley,Los Angeles,3,12.42,37.26
CA-2017-107720,CA-2017-RE-192,Brenda Nelson,Los Angeles,8,17.83,142.64
OR-2017-124303,OR-2017-MG-227,Edward Taylor,Portland,4,12.42,49.68
WA-2017-105074,MA-GJIJD-45257,Philip Dean,Seattle,3,17.83,53.49
MA-2014-133690,MA-2014-HI-325,Jerry Butler,Lowell,7,53.35,373.45
CA-2017-116701,CA-2017-FK-131,Laura Gutierrez,Los Angeles,7,53.35,373.45
MA-2017-126382,MA-2017-HJ-270,Andrew Howard,Lowell,1,16.32,16.32
NJ-2017-108329,MA-ZWWEH-13208,Joe Ryan,Troy,4,16.32,65.28
MA-2017-135860,MA-2017-ZS-719,Steven Miller,Lowell,5,17.83,89.15
NJ-2015-101007,NJ-2015-TT-892,Christina Little,Troy,7,16.32,114.24
NV-2015-146262,NV-2015-XG-601,Doris Diaz,Las Vegas,4,17.83,71.32
MA-2016-130162,MA-2016-FO-571,Charles Ray,Lowell,10,17.83,178.3
WA-2015-169397,WA-2015-PR-849,Margaret James,Seattle,5,12.42,62.1
NJ-2015-163055,NJ-2015-DV-562,Virginia Alvarez,Troy,10,53.35,533.5
CA-2015-145436,MA-CQDNF-18637,Frank Garrett,Los Angeles,10,53.35,533.5
NJ-2014-156216,NJ-2014-BR-138,Laura Wells,Westfield,8,12.42,99.36
OR-2017-100930,OR-2017-TC-735,Edward Taylor,Portland,2,53.35,106.7
CT-2017-160514,CT-2017-NS-850,Sara Hawkins,Fairfield,8,16.32,130.56
OR-2016-157749,OR-2016-QE-290,Cynthia Matthews,Portland,2,12.42,24.84
OR-2014-131926,OR-2014-PU-770,Kelly Gomez,Portland,7,53.35,373.45
MA-2016-154739,MA-2016-FG-921,Raymond Young,Lowell,3,17.83,53.49
OR-2016-145625,CA-WRZIM-23764,Billy Scott,Portland,4,16.32,65.28
WA-2016-146941,WA-2016-PQ-137,Arthur James,Seattle,10,17.83,178.3
NJ-2015-159982,NJ-2015-LE-640,Ronald Kim,Troy,5,12.42,62.1
NJ-2017-163139,NJ-2017-ZW-660,Harold Daniels,Troy,2,12.42,24.84
CA-2017-155299,CA-2017-WN-774,Adam Martin,Los Angeles,2,17.83,35.66
MA-2014-106992,MA-2014-VK-237,Phillip Young,Lowell,8,17.83,142.64
CT-2016-125318,CT-2016-DB-457,Lois Baker,Fairfield,5,12.42,62.1
CA-2015-155040,CA-2015-JK-524,Nicholas Schmidt,Los Angeles,4,16.32,65.28
NJ-2017-136826,NJ-2017-GG-799,Martha Mills,Westfield,7,12.42,86.94
NJ-2016-111010,NJ-2016-JF-136,Cynthia Lewis,Westfield,7,16.32,114.24
NV-2017-145366,NV-2017-FH-497,John Simpson,Las Vegas,5,16.32,81.6
CA-2017-163979,CA-2017-SZ-306,Frances Parker,Los Angeles,6,17.83,106.98
NJ-2015-155334,NJ-2015-YU-724,Kenneth Lane,Troy,9,12.42,111.78
OR-2017-118136,OR-2017-BD-965,Gloria Fisher,Portland,5,12.42,62.1
NJ-2017-132976,NJ-2017-TZ-574,Mark Alexander,Troy,9,12.42,111.78
NJ-2015-161991,NJ-2015-FC-728,Evelyn Greene,Troy,6,17.83,106.98
WA-2015-130890,WA-2015-DR-523,Craig Thomas,Seattle,7,12.42,86.94
NJ-2015-130883,NJ-2015-JB-769,Nancy Scott,Troy,8,53.35,426.8
NJ-2016-112697,NJ-2016-NW-212,Johnny Fowler,Westfield,9,53.35,480.15
MA-2016-110772,MA-2016-ZO-736,Cheryl Williamson,Lowell,5,12.42,62.1
